name;hue;saturation;luminosity
Sunglow;45;100;60
Eggshell;46;46;89
Gold;46;100;32
Gold;46;65;52
Golden poppy;46;100;49
Mango;46;98;50
Metallic gold;46;64;52
Jasmine;47;90;73
Lemon meringue;47;76;85
Mellow yellow;47;90;73
Mustard;47;100;67
Cornsilk;48;100;93
Medium champagne;48;75;81
Naples yellow;48;94;67
Royal yellow;48;94;67
Stil de grain yellow;48;94;67
Vanilla;48;75;81
Jonquil;49;91;52
Old gold;49;61;52
Cyber yellow;50;100;50
Flax;50;76;72
Vegas gold;50;48;56
Yellow;50;95;75
Yellow;50;100;50
Arylide yellow;51;74;67
Gold;51;100;50
Hansa yellow;51;74;67
School bus yellow;51;100;50
Yellow;51;100;47
Golden yellow;52;100;50
Minion yellow;52;89;64
Sizzling Sunrise;52;100;50
Spanish bistre;52;44;35
Antique bronze;53;55;26
Safety yellow;53;98;47
Yellow;53;100;50
Citrine;54;92;47
Corn;54;95;68
Khaki;54;77;75
Lemon chiffon;54;100;90
Maize;54;95;67
Misty moss;54;33;60
Straw;54;68;66
Green-yellow;55;76;76
Middle yellow;55;100;50
Sage;55;27;64
Aureolin;56;100;50
Canary yellow;56;100;50
Dark khaki;56;38;58
Lemon yellow;56;100;65
Process yellow;56;100;50
Yellow;56;100;50
Cream;57;100;91
Icterine;58;96;68
Lemon;58;100;50
Titanium yellow;58;100;47
Yellow Sunshine;58;100;50
Olive green;59;38;54
Pale spring bud;59;55;83
Spring green;59;55;83
Baby powder;60;67;99
Battleship grey;60;1;51
Beige;60;56;91
Canary;60;100;80
Ivory;60;100;97
Laser lemon;60;100;70
Lemon glacier;60;100;50
Lemon yellow;60;100;81
Light goldenrod yellow;60;80;90
Light yellow;60;100;94
Maximum yellow;60;95;60
Old silver;60;1;51
Olive;60;100;25
Unmellow yellow;60;100;70
Xanthic;60;93;48
Yellow;60;100;50
Yellow;60;99;60
Citron;64;69;39
Acid green;65;76;43
Maximum green yellow;65;75;61
Bitter lemon;66;89;47
Pear;66;75;54
Key lime;67;83;75
Black olive;70;5;22
Arctic lime;72;100;54
Electric lime;72;100;50
Middle green yellow;72;43;56
Mindaro;72;90;75
Volt;72;100;50
June bud;73;64;60
Lime;75;100;50
Moss green;75;26;48
Turtle green;75;26;48
Yellow-green;79;63;70
Olive Drab;80;61;35
Sheen green;80;100;42
Spring bud;80;100;49
Yellow-green;80;61;50
Dark olive green;82;39;30
Green Lizard;84;90;58
Green-yellow;84;100;59
Inchworm;84;79;65
Rifle green;84;15;26
Pine tree;85;15;16
Olivine;87;33;59
French lime;89;98;61
Chartreuse;90;100;50
Lawn green;90;100;49
Maximum green;90;48;37
Sap green;93;50;33
Spring Frost;94;100;58
Green;95;56;44
Laurel green;95;17;67
Pistachio;96;42;61
Ebony;97;8;34
Nyanza;97;100;93
Tea green;100;62;85
Kelly green;101;78;41
Bud green;102;37;55
Kombu green;103;16;22
Harlequin;105;100;50
Fern green;106;29;37
Lincoln green;106;89;18
Artichoke green;110;24;35
Mantis;110;44;58
Neon green;111;100;54
Slimy green;111;73;34
May green;112;38;41
Yellow-green;112;75;40
Granny Smith apple;113;56;76
India green;115;89;28
Dark green;120;100;20
Dark sea green;120;25;65
Forest green;120;61;34
Green;120;100;50
Green;120;100;25
Honeydew;120;100;97
Light green;120;73;75
Lime;120;100;50
Lime green;120;61;50
Mint green;120;100;80
